id,title,description,url,genre,platform,publisher,developer,release_date
310,Team Fortress 2,Valve's iconic class-based free-to-play first-person shooter!,https://www.freetogame.com/open/team-fortress-2,Shooter,PC (Windows),Valve,Valve,10/10/07
311,Rumble Fighter,"A free to play Fighting MMO, test your skills!",https://www.freetogame.com/open/rumble-fighter,Fighting,PC (Windows),RedFox Games,Nimonix,02/08/07
312,Granado Espada Online,"Adventure back to colonial times where you can find prestige, wealth, adventure, and a lot of work.",https://www.freetogame.com/open/granado-espada,MMORPG,PC (Windows),T3Fun,IMC Games Co. Limited,10/07/07
313,Teeworlds,A free to play retro multiplayer online shooter where you can even design your own maps!,https://www.freetogame.com/open/teeworlds,Shooter,PC (Windows),Teeworlds Team ,Teeworlds Team ,27/05/07
314,Audition Online,"A 3D rhythm MMO, Compete against other players in dance competitions.",https://www.freetogame.com/open/audition-online,Social,PC (Windows),Redbana Corporation,T3 Entertainment,02/04/07
315,Voyage Century Online,A massive open world ship vs. ship combat game where players will take charge of their own vessel.,https://www.freetogame.com/open/voyage-century-online,MMORPG,PC (Windows),IGG,Snail Games,22/12/06
316,Scions of Fate,A friendly free to play MMORPG with easy to pick up controls.,https://www.freetogame.com/open/scions-of-fate,MMORPG,PC (Windows),NETGAME Inc,MGAME Corporation,30/01/18
317,Rappelz,A free to play 3D classic MMORPG with robust features.,https://www.freetogame.com/open/rappelz,MMORPG,PC (Windows),Webzen,Gala Lab,03/11/06
319,Ace Online,A free to play fast action 3D sci-fi MMO where players control space fighters jets.,https://www.freetogame.com/open/ace-online,Shooter,PC (Windows),Suba Games,MasangSoft,29/08/08
320,Dungeons and Dragons Online,A free-to-play MMORPG based on the beloved D&D RPG that started it all.,https://www.freetogame.com/open/dungeons-dragons-online,MMORPG,PC (Windows),Warner Bros. Interactive Entertainment,"Turbine, Inc.",28/02/06
321,RF Online,A free to play Sci-fi MMORPG with Large-Scale PvP and fast-paced gameplay.,https://www.freetogame.com/open/rf-online,MMORPG,PC (Windows),RedFox Games,CCR Inc.,21/02/06
322,La Tale Evolved,A 2D side-scrolling fantasy MMORPG with anime-inspired graphics.,https://www.freetogame.com/open/la-tale,MMORPG,PC (Windows),Papaya Play,Actoz Soft,17/11/17
323,Flyff: Fly For Fun,A free-to-play anime MMORPG with charming visual aesthetic and an addictive gameplay.,https://www.freetogame.com/open/flyff,MMORPG,PC (Windows),Webzen,Gala Lab Corp (formerly Aeonsoft),25/12/05
324,Dream of Mirror Online,A free to play fantasy MMORPG with tons of social features.,https://www.freetogame.com/open/domo,MMORPG,PC (Windows),SubaGames,SoftStar,03/09/05
325,MapleStory,"A popular free-to-play 2D side-scrolling MMORPG with tons of quests, and a huge game world!",https://www.freetogame.com/open/maplestory,MMORPG,PC (Windows),Nexon,Wizet,11/05/05
326,Shot Online,A free to play Golfing MMO that any golf lover will enjoy to play!,https://www.freetogame.com/open/shot-online,Sports,PC (Windows),GamesCampus,OnNet Co. Ltd.,30/11/04
327,Everquest 2,A free to play 3D fantasy MMORPG and the sequel to EverQuest.,https://www.freetogame.com/open/everquest-2,MMORPG,PC (Windows),Daybreak Games,Daybreak Games,08/11/04
328,Dofus,A 2D MMORPG with tons of different classes and a tactical combat system.,https://www.freetogame.com/open/dofus,MMORPG,PC (Windows),Ankama Games,Ankama Games,01/09/04
329,Kal Online,A Korean Fantasy MMORPG developed by Inixsoft.,https://www.freetogame.com/open/kalonline,MMORPG,PC (Windows),Inisxoft,Inisxoft,11/06/04
